x1,x2,report
10.50252608,18.99904229,1
26.93115669,8.554048936,1
35.49398211,14.33685386,1
8.272519624,1.348375868,0
5.475691952,0.070555043,0
15.51176505,6.929988116,1
1.817595916,24.13627998,0
28.33158966,22.11514578,1
5.600063108,19.19939014,0
9.338814904,13.92808425,1
3.877429465,6.622334838,0
31.29197047,2.810901202,0
12.07200894,9.761017617,1
3.819666378,7.473098085,0
18.35528447,19.57163498,1
0.215105931,3.32985535,0
14.02598184,0,0
31.92079617,13.03115349,1
3.992247282,2.165658609,0
8.42234251,4.320292532,0
18.95687789,43.40214095,1
14.4429692,4.242603307,0
23.28463433,36.54542518,1
18.33334041,6.642061049,1
24.39758656,10.38569317,1
6.529661401,46.08449294,0
0.699883484,16.59089762,0
21.97236915,8.459839277,1
41.72745885,4.788807199,0
18.46858374,1.267297431,0
3.012914426,0.76791366,0
0.871656113,26.86834638,0
9.753205044,11.7742402,1
8.798928542,0.825666121,0
32.83620783,1.241631658,0
1.397735556,18.25376789,0
6.299734004,10.81409995,0
21.72040063,6.750808538,1
20.21387463,19.62716446,1
0,10.02530842,0
0.834377275,46.55467669,0
6.096905514,10.33190135,0
2.042548193,9.351263023,0
6.575500176,10.65537098,0
5.34543585,4.064180964,0
24.67344566,19.33652258,1
6.699440404,13.67845322,0
7.576767806,14.66471474,1
29.20891809,6.159554175,1
1.145805804,8.069073341,0
27.4356144,0.624468666,0
1.581820814,2.744466704,0
1.378046716,13.4816776,0
6.319841691,2.331894596,0
0.215581646,15.92858174,0
14.49377442,5.534307377,1
13.58249842,5.494135836,1
1.599464935,18.25908681,0
2.72019012,27.74947797,0
11.17056584,4.143828559,0
1.374564708,17.54407393,0
7.965794691,1.47823423,0
27.3861014,8.005267096,1
18.25771854,1.631049872,0
11.58373648,36.70651235,1
0.791251492,13.87387438,0
11.07220522,13.77084663,1
24.97288033,5.119193709,1
7.742208627,8.628801473,1
14.22951704,9.369577869,1
30.03443997,0.757385297,0
18.8367478,14.60991908,1
2.649769692,18.96945854,0
3.84890052,0.149021073,0
9.067880518,11.05685886,1
5.735178029,1.919499564,0
5.336922749,7.241286751,0
11.49202428,0.407920116,0
14.9315425,8.672331705,1
27.1109847,0.663295205,0
25.19377749,1.593665255,0
12.81134713,3.548100689,0
4.165768577,0.542423454,0
0.127653284,9.386289007,0
2.827160647,2.969606381,0
0.560672594,2.594233995,0
10.71493193,18.18606408,1
7.679777182,25.53037046,1
1.005273719,30.16988287,0
8.296807164,16.34262951,1
0.399101871,7.934637064,0
9.047324845,31.65649974,1
4.719763535,19.16687456,0
16.11593455,8.169919304,1
7.447190093,18.42560128,1
0.301023712,1.414502039,0
28.38176209,33.76304321,1
3.533135003,3.761129506,0
24.60181978,22.87752352,1
3.068751858,1.651095391,0
0.664313471,11.21104634,0
35.19489738,3.258098165,0
32.16672344,4.485361696,0
0.953863711,0,0
1.198697107,7.669783957,0
20.45691513,33.12776693,1
29.60880912,0.624166185,0
27.7742539,3.583945137,0
16.22917982,11.17515631,1
39.12363056,13.91279763,1
11.69107723,0.627256035,0
11.96623327,33.15607458,1
3.621654079,0.358731062,0
30.58690387,0.384419541,0
8.853188177,20.85488999,1
16.89063652,4.481672541,0
12.77100288,19.19208606,1
1.733959799,15.29486345,0
2.49766487,25.88271294,0
29.21527889,0.677957211,0
25.66068883,3.740381527,0
25.02788605,9.966453515,1
28.91158346,5.40275518,1
12.71151625,33.42421032,1
1.692416257,24.02161467,0
5.115240388,23.1432897,0
0.251738326,11.01955153,0
1.006355889,4.926402876,0
16.46284114,28.82733973,1
4.675341601,0.425982133,0
34.87395968,4.807810383,0
13.18558111,5.531459589,1
0.628351163,1.78440101,0
16.11149156,16.50554139,1
0,27.76864612,0
13.62477617,7.625752222,1
30.58716262,44.50464506,1
10.3764857,19.95760224,1
0.307086209,8.163552102,0
9.562066456,21.3363586,1
5.009413296,27.189195,0
2.187267454,12.5154709,0
1.034465358,5.275751128,0
8.33003577,39.67484742,1
14.64940701,46.47185043,1
2.951969399,15.78907936,0
17.06905461,10.6795533,1
8.212984903,6.448491899,1
32.68680213,1.711293393,0
17.55946642,21.18839295,1
28.52130088,3.71176092,0
2.91267321,17.01949088,0
3.359857097,4.589287773,0
10.05386694,46.78059632,1
12.3321794,1.388264347,0
18.86740072,23.10085796,1
7.791980573,10.82415576,1
1.256636317,2.524066088,0
17.83464517,27.80253149,1
0.898628927,2.911020819,0
16.436954,18.24345593,1
2.401237587,3.160791234,0
8.498349515,45.82753599,1
6.292457579,0,0
